Entry_Number,Description,Category,Weight_g,Location,Page
Entry-23-90,• PackagingMaterials,Ambiguous,,,23
Entry-23-91,• THC Cartridges 200 Grams,Cartridge,200.0,,23
Entry-23-92,• THCOil - 71 Grams,Concentrate,71.0,,23
Entry-23-93,• Pre-Rolled Cannabis,Flower,,,23
Entry-23-94,• Pre-PackagedCannabis - 956 gramsofTHC,Flower,,,23
Entry-23-95,• LooseBulkCannabis 956 Grams ofTHC,Flower,956.0,,23
Entry-23-96,• Suspected PsilocybinEdibles/Gummies - 22l grams,Edible,,,23
Entry-23-97,"• THCGummies - 2,094.15 grams",Edible,94.15,,23
s,"Cannabis related items such as THC edibles and gum.mies, THC oil (commonly referred to as Dabs), THC",Flower,,,23
Entry-24-100,• THC Cartridges - 981.2 Grams,Cartridge,981.2,,24
